"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
52237-01-020,Qaraaoun 020,Bekaa,West Bekaa,Qaraaoun,,33.57550049,35.71969986,IS- Informal Settlement,Active,14,72,11/7/16,Medair,Sixth Update - 2016,6/18/15,5/30/15,6,14000,0,0,Water Network,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
52237-01-021,Qaraaoun 021,Bekaa,West Bekaa,Qaraaoun,,33.57540131,35.7201004,IS- Informal Settlement,Active,10,48,11/7/16,Medair,Sixth Update - 2016,6/18/15,4/25/15,6,10000,0,0,Water Network,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
52237-01-022,Qaraaoun 022,Bekaa,West Bekaa,Qaraaoun,,33.57910156,35.73120117,IS- Informal Settlement,Less than 4,2,15,11/7/16,Medair,Sixth Update - 2016,6/19/15,6/19/13,3,2000,0,0,Water Network,Burn it,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,No
52237-01-023,Qaraaoun 023,Bekaa,West Bekaa,Qaraaoun,,33.57516861,35.71263885,IS- Informal Settlement,Less than 4,3,18,11/8/16,Medair,Sixth Update - 2016,7/27/15,4/26/15,2,2000,0,0,Water Network,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52237-01-024,Qaraaoun 024,Bekaa,West Bekaa,Qaraaoun,,33.57479858,35.72389984,IS- Informal Settlement,Active,4,18,11/7/16,Medair,Sixth Update - 2016,9/30/15,9/30/14,3,3000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
52237-01-025,Qaraaoun 025,Bekaa,West Bekaa,Qaraaoun,,33.58480072,35.7159996,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,9/29/15,11/4/13,0,0,0,0,,,,,,,
52237-01-026,Qaraaoun 026,Bekaa,West Bekaa,Qaraaoun,,33.58399963,35.71530151,IS- Informal Settlement,Less than 4,1,7,11/7/16,Medair,Sixth Update - 2016,9/30/15,9/30/14,1,1000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52237-01-027,Qaraaoun 027,Bekaa,West Bekaa,Qaraaoun,,33.58420181,35.71620178,IS- Informal Settlement,Inactive,0,0,11/8/16,Medair,Sixth Update - 2016,9/30/15,9/30/14,0,0,0,0,,,,,,,
52237-01-028,Qaraaoun 028,Bekaa,West Bekaa,Qaraaoun,,33.56980133,35.72109985,IS- Informal Settlement,Less than 4,2,14,11/7/16,Medair,Sixth Update - 2016,11/2/15,8/11/15,2,2000,0,0,Water Network,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
52237-01-029,Qaraaoun 029,Bekaa,West Bekaa,Qaraaoun,,33.57720184,35.72449875,IS- Informal Settlement,Less than 4,3,20,11/7/16,Medair,Sixth Update - 2016,4/14/16,4/9/16,3,3000,0,0,Borehole,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52237-01-030,Qaraaoun 030,Bekaa,West Bekaa,Qaraaoun,,33.5750618,35.71520996,IS- Informal Settlement,Less than 4,2,16,11/8/16,Medair,Sixth Update - 2016,8/1/16,6/1/16,0,1000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,No
52237-01-031,Qaraaoun 031,Bekaa,West Bekaa,Qaraaoun,,33.58306122,35.71218872,IS- Informal Settlement,Less than 4,2,13,11/7/16,Medair,Sixth Update - 2016,7/26/16,7/26/16,2,2000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52237-01-032,Qaraaoun 032,Bekaa,West Bekaa,Qaraaoun,,33.57321167,35.72159958,IS- Informal Settlement,Less than 4,2,15,11/7/16,Medair,Sixth Update - 2016,11/6/16,10/7/16,1,2000,0,0,Water Trucking,Municipality Collection,Cesspit,None,No Internet access,No,No
52237-01-033,Qaraaoun 033,Bekaa,West Bekaa,Qaraaoun,,33.58599091,35.71889877,IS- Informal Settlement,Less than 4,2,12,11/7/16,Medair,Sixth Update - 2016,11/6/16,9/7/16,0,2000,0,0,Water Network,Municipality Collection,Cesspit,None,No Internet access,No,No
52241-01-001,Soltan Yacoub el Aradi 001,Bekaa,West Bekaa,Soltan Yacoub el Aradi,,33.67699814,35.85900116,IS- Informal Settlement,Less than 4,2,6,11/20/16,Medair,Sixth Update - 2016,8/1/14,2/6/13,1,1000,0,0,Borehole,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52241-01-002,Soltan Yacoub el Aradi 002,Bekaa,West Bekaa,Soltan Yacoub el Aradi,,33.67210007,35.86130142,IS- Informal Settlement,Less than 4,1,2,11/24/16,Medair,Sixth Update - 2016,10/12/15,10/12/14,1,1000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52241-01-003,Soltan Yacoub el Aradi 003,Bekaa,West Bekaa,Soltan Yacoub el Aradi,,33.67417908,35.85731125,IS- Informal Settlement,Inactive,0,0,11/24/16,Medair,Sixth Update - 2016,8/16/16,8/1/16,0,0,0,0,,,,,,,
52244-01-001,Manara (Hammara) BG 001,Bekaa,West Bekaa,Manara (Hammara) BG,,33.65570068,35.88249969,IS- Informal Settlement,Active,4,22,11/22/16,Medair,Sixth Update - 2016,4/11/14,3/24/13,1,4000,1,6,Water Trucking,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52244-01-002,Manara (Hammara) BG 002,Bekaa,West Bekaa,Manara (Hammara) BG,,33.66199875,35.88570023,IS- Informal Settlement,Less than 4,1,6,11/23/16,Medair,Sixth Update - 2016,3/9/15,4/4/13,1,2000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52244-01-003,Manara (Hammara) BG 003,Bekaa,West Bekaa,Manara (Hammara) BG,,33.66030121,35.88299942,IS- Informal Settlement,Inactive,0,0,11/23/16,Medair,Sixth Update - 2016,2/15/16,12/31/13,0,0,0,0,,,,,,,
52244-01-004,Manara (Hammara) BG 004,Bekaa,West Bekaa,Manara (Hammara) BG,,33.64179993,35.87149811,IS- Informal Settlement,Less than 4,1,5,11/23/16,Medair,Sixth Update - 2016,2/24/16,2/1/14,1,0,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52251-01-001,Dakoué 001,Bekaa,West Bekaa,Dakoué,dakwe,33.69380188,35.87580109,IS- Informal Settlement,Active,36,188,11/24/16,Medair,Sixth Update - 2016,5/5/14,9/10/11,29,34000,0,0,Water Trucking,Burn it,Cesspit,Verbal,Wifi  / local Internet service provider,Yes,Yes
52251-01-002,Dakoué 002,Bekaa,West Bekaa,Dakoué,,33.70410156,35.87350082,IS- Informal Settlement,Active,7,40,11/24/16,Medair,Sixth Update - 2016,7/31/14,11/30/11,6,7000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52251-01-003,Dakoué 003,Bekaa,West Bekaa,Dakoué,,33.70373917,35.8789711,IS- Informal Settlement,Less than 4,2,14,11/24/16,Medair,Sixth Update - 2016,7/31/14,1/3/14,1,2500,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52251-01-004,Dakoué 004,Bekaa,West Bekaa,Dakoué,,33.68600082,35.86830139,IS- Informal Settlement,Active,5,17,11/24/16,Medair,Sixth Update - 2016,7/11/14,4/11/14,2,3000,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Wifi  / local Internet service provider,Yes,Yes
52251-01-005,Dakoué 005,Bekaa,West Bekaa,Dakoué,,33.69377136,35.87820816,IS- Informal Settlement,Active,19,106,11/24/16,Medair,Sixth Update - 2016,8/26/14,2/22/14,12,17000,0,0,Water Trucking,Dump it outside the camp,Cesspit,None,Mobile network - 3G / 4G,No,Yes
52251-01-006,Dakoué 006,Bekaa,West Bekaa,Dakoué,,33.70339966,35.87789917,IS- Informal Settlement,Active,4,15,11/24/16,Medair,Sixth Update - 2016,8/1/14,4/1/14,2,2000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52251-01-007,Dakoué 007,Bekaa,West Bekaa,Dakoué,,33.70270157,35.88100052,IS- Informal Settlement,Active,12,65,11/24/16,Medair,Sixth Update - 2016,8/1/14,8/1/13,7,10000,1,5,Water Trucking,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52251-01-008,Dakoué 008,Bekaa,West Bekaa,Dakoué,,33.70199966,35.87409973,IS- Informal Settlement,Inactive,0,0,11/24/16,Medair,Sixth Update - 2016,9/30/14,8/30/14,0,0,0,0,,,,,,,
52251-01-009,Dakoué 009,Bekaa,West Bekaa,Dakoué,,33.70399857,35.87490082,IS- Informal Settlement,Less than 4,2,11,11/24/16,Medair,Sixth Update - 2016,8/30/15,9/30/13,1,2000,0,0,Borehole,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52251-01-010,Dakoué 010,Bekaa,West Bekaa,Dakoué,,33.69800186,35.875,IS- Informal Settlement,Less than 4,2,8,11/24/16,Medair,Sixth Update - 2016,8/30/15,11/14/13,1,2000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52251-01-011,Dakoué 011,Bekaa,West Bekaa,Dakoué,,33.68209839,35.8669014,IS- Informal Settlement,Inactive,0,0,11/24/16,Medair,Sixth Update - 2016,8/30/15,5/30/15,0,0,0,0,,,,,,,
52251-01-012,Dakoué 012,Bekaa,West Bekaa,Dakoué,,33.68479919,35.85810089,IS- Informal Settlement,Less than 4,1,10,11/11/16,Medair,Sixth Update - 2016,10/13/15,9/5/15,1,1000,1,4,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,No Internet access,Yes,No
52251-01-013,Dakoué 013,Bekaa,West Bekaa,Dakoué,,33.6853981,35.85829926,IS- Informal Settlement,Active,11,61,11/11/16,Medair,Sixth Update - 2016,10/13/15,8/8/15,8,10000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,No
52251-01-014,Dakoué 014,Bekaa,West Bekaa,Dakoué,,33.68450165,35.8689003,IS- Informal Settlement,Less than 4,2,18,11/24/16,Medair,Sixth Update - 2016,2/29/16,1/1/13,2,0,0,0,Borehole,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52251-01-015,Dakoué 015,Bekaa,West Bekaa,Dakoué,,33.69102859,35.87162018,IS- Informal Settlement,Less than 4,2,7,11/24/16,Medair,Sixth Update - 2016,8/1/16,1/1/16,1,0,0,0,Water Trucking,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52251-01-016,Dakoué 016,Bekaa,West Bekaa,Dakoué,,33.70470047,35.87609863,IS- Informal Settlement,Less than 4,2,6,11/24/16,Medair,Sixth Update - 2016,10/6/16,3/6/16,1,0,0,0,Borehole,Burn it,Direct discharge to environment,None,Mobile network - 3G / 4G,No,Yes
52254-01-001,Haouch El-Harime 001,Bekaa,West Bekaa,Haouch El-Harime,Houch El harimeh 1,33.72850037,35.85919952,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/6/14,4/10/11,0,0,0,0,,,,,,,
52254-01-002,Haouch El-Harime 002,Bekaa,West Bekaa,Haouch El-Harime,Hawsh,33.71269989,35.85079956,IS- Informal Settlement,Active,9,56,12/14/16,Medair,Sixth Update - 2016,5/5/14,5/10/12,9,10000,0,0,Borehole,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,No,No
52254-01-003,Haouch El-Harime 003,Bekaa,West Bekaa,Haouch El-Harime,Hawsh,33.71398926,35.85535812,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/5/14,7/10/12,0,0,0,0,,,,,,,
52254-01-004,Haouch El-Harime 004,Bekaa,West Bekaa,Haouch El-Harime,haosh al harime,33.71738815,35.86809158,IS- Informal Settlement,Active,27,187,12/14/16,Medair,Sixth Update - 2016,5/6/14,7/10/11,25,36000,0,0,Water Trucking,Municipality Collection,Holding tank,Verbal,Wifi  / local Internet service provider,Yes,Yes
52254-01-005,Haouch El-Harime 005,Bekaa,West Bekaa,Haouch El-Harime,hawsh harime,33.70370102,35.84840012,IS- Informal Settlement,Active,12,72,12/14/16,Medair,Sixth Update - 2016,5/5/14,5/10/13,0,8000,6,17,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
52254-01-006,Haouch El-Harime 006,Bekaa,West Bekaa,Haouch El-Harime,hawsh harime,33.7052002,35.85150146,IS- Informal Settlement,Active,116,705,12/14/16,Medair,Sixth Update - 2016,5/5/14,6/10/13,78,110000,0,0,Water Trucking,Municipality Collection,Holding tank,Verbal,Wifi  / local Internet service provider,No,Yes
52254-01-007,Haouch El-Harime 007,Bekaa,West Bekaa,Haouch El-Harime,,33.70709991,35.84659958,IS- Informal Settlement,Active,17,98,12/14/16,Medair,Sixth Update - 2016,5/5/14,3/2/14,7,11000,0,0,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
52254-01-008,Haouch El-Harime 008,Bekaa,West Bekaa,Haouch El-Harime,,33.717659,35.86748123,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/6/14,3/6/12,0,0,0,0,,,,,,,
52254-01-009,Haouch El-Harime 009,Bekaa,West Bekaa,Haouch El-Harime,,33.72330093,35.85789871,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,6/17/14,5/24/14,0,0,0,0,,,,,,,
52254-01-010,Haouch El-Harime 010,Bekaa,West Bekaa,Haouch El-Harime,,33.71879959,35.86449814,IS- Informal Settlement,Less than 4,2,10,12/14/16,Medair,Sixth Update - 2016,8/17/14,11/25/13,1,2000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-011,Haouch El-Harime 011,Bekaa,West Bekaa,Haouch El-Harime,,33.7179985,35.86529922,IS- Informal Settlement,Less than 4,2,10,12/14/16,Medair,Sixth Update - 2016,8/17/14,6/8/14,2,3000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52254-01-012,Haouch El-Harime 012,Bekaa,West Bekaa,Haouch El-Harime,,33.71379852,35.86750031,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,8/17/14,2/23/14,0,0,0,0,,,,,,,
52254-01-013,Haouch El-Harime 013,Bekaa,West Bekaa,Haouch El-Harime,,33.71969986,35.86330032,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,10/2/14,8/31/14,0,0,0,0,,,,,,,
52254-01-014,Haouch El-Harime 014,Bekaa,West Bekaa,Haouch El-Harime,hawsh harime,33.72050095,35.86100006,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,1/27/15,8/30/14,0,0,0,0,,,,,,,
52254-01-015,Haouch El-Harime 015,Bekaa,West Bekaa,Haouch El-Harime,,33.7154007,35.87200165,IS- Informal Settlement,Active,20,120,12/14/16,Medair,Sixth Update - 2016,3/11/15,2/22/15,19,21000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
52254-01-016,Haouch El-Harime 016,Bekaa,West Bekaa,Haouch El-Harime,mahmud,33.72869873,35.85929871,IS- Informal Settlement,Less than 4,2,14,12/14/16,Medair,Sixth Update - 2016,5/4/15,11/12/13,2,2000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-017,Haouch El-Harime 017,Bekaa,West Bekaa,Haouch El-Harime,,33.72100067,35.86270142,IS- Informal Settlement,Less than 4,1,17,12/14/16,Medair,Sixth Update - 2016,5/4/15,5/14/14,2,2000,0,0,Water Trucking,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-018,Haouch El-Harime 018,Bekaa,West Bekaa,Haouch El-Harime,,33.72019958,35.86169815,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/4/15,11/13/12,0,0,0,0,,,,,,,
52254-01-019,Haouch El-Harime 019,Bekaa,West Bekaa,Haouch El-Harime,,33.72019958,35.86240005,IS- Informal Settlement,Active,5,26,12/14/16,Medair,Sixth Update - 2016,5/4/15,11/7/14,4,8000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-020,Haouch El-Harime 020,Bekaa,West Bekaa,Haouch El-Harime,,33.7132988,35.85139847,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/4/15,6/4/14,0,0,0,0,,,,,,,
52254-01-021,Haouch El-Harime 021,Bekaa,West Bekaa,Haouch El-Harime,,33.72029877,35.86289978,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,5/4/15,12/10/14,0,0,0,0,,,,,,,
52254-01-022,Haouch El-Harime 022,Bekaa,West Bekaa,Haouch El-Harime,,33.72040176,35.86380005,IS- Informal Settlement,Less than 4,2,12,12/14/16,Medair,Sixth Update - 2016,5/4/15,3/13/15,1,2000,5,34,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-023,Haouch El-Harime 023,Bekaa,West Bekaa,Haouch El-Harime,,33.71640015,35.86972046,IS- Informal Settlement,Less than 4,2,19,12/14/16,Medair,Sixth Update - 2016,5/4/15,9/21/14,2,2000,0,0,Water Trucking,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-024,Haouch El-Harime 024,Bekaa,West Bekaa,Haouch El-Harime,,33.71279907,35.85789871,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,6/10/15,5/23/15,0,0,0,0,,,,,,,
52254-01-025,Haouch El-Harime 025,Bekaa,West Bekaa,Haouch El-Harime,,33.72019958,35.86449814,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,6/11/15,3/4/15,0,0,0,0,,,,,,,
52254-01-026,Haouch El-Harime 026,Bekaa,West Bekaa,Haouch El-Harime,,33.72000122,35.8628006,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,6/11/15,5/3/15,0,0,0,0,,,,,,,
52254-01-027,Haouch El-Harime 027,Bekaa,West Bekaa,Haouch El-Harime,,33.71060181,35.86119843,IS- Informal Settlement,Less than 4,2,10,12/14/16,Medair,Sixth Update - 2016,6/11/15,5/11/14,2,2000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52254-01-028,Haouch El-Harime 028,Bekaa,West Bekaa,Haouch El-Harime,,33.71080017,35.85630035,IS- Informal Settlement,Less than 4,1,14,12/14/16,Medair,Sixth Update - 2016,6/11/15,5/11/15,1,2000,2,11,Borehole,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52254-01-029,Haouch El-Harime 029,Bekaa,West Bekaa,Haouch El-Harime,,33.71080017,35.85589981,IS- Informal Settlement,Less than 4,2,11,12/14/16,Medair,Sixth Update - 2016,6/11/15,1/11/13,0,2000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52254-01-030,Haouch El-Harime 030,Bekaa,West Bekaa,Haouch El-Harime,,33.71229935,35.85139847,IS- Informal Settlement,Less than 4,3,23,12/14/16,Medair,Sixth Update - 2016,6/11/15,6/11/13,2,4000,0,0,Borehole,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,No,No
52254-01-031,Haouch El-Harime 031,Bekaa,West Bekaa,Haouch El-Harime,,33.71266174,35.85523987,IS- Informal Settlement,Active,4,22,12/14/16,Medair,Sixth Update - 2016,6/11/15,5/11/14,3,2000,1,2,Others,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52254-01-032,Haouch El-Harime 032,Bekaa,West Bekaa,Haouch El-Harime,,33.72869873,35.8608017,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,6/11/15,6/11/14,0,0,0,0,,,,,,,
52254-01-033,Haouch El-Harime 033,Bekaa,West Bekaa,Haouch El-Harime,,33.72389984,35.85789871,IS- Informal Settlement,Less than 4,1,7,12/14/16,Medair,Sixth Update - 2016,6/29/15,5/4/15,1,1000,2,6,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-034,Haouch El-Harime 034,Bekaa,West Bekaa,Haouch El-Harime,,33.72320175,35.85749817,IS- Informal Settlement,Active,25,141,12/14/16,Medair,Sixth Update - 2016,6/28/15,6/22/15,22,30000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Written,Mobile network - 3G / 4G,Yes,Yes
52254-01-035,Haouch El-Harime 035,Bekaa,West Bekaa,Haouch El-Harime,,33.70880127,35.85210037,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,8/30/15,5/15/15,0,0,0,0,,,,,,,
52254-01-036,Haouch El-Harime 036,Bekaa,West Bekaa,Haouch El-Harime,,33.70492172,35.84402084,IS- Informal Settlement,Active,13,116,12/14/16,Medair,Sixth Update - 2016,8/31/15,6/15/15,0,14000,1,8,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52254-01-037,Haouch El-Harime 037,Bekaa,West Bekaa,Haouch El-Harime,,33.71889877,35.86579895,IS- Informal Settlement,Less than 4,1,10,12/14/16,Medair,Sixth Update - 2016,8/31/15,6/14/15,1,1000,0,0,Others,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
52254-01-038,Haouch El-Harime 038,Bekaa,West Bekaa,Haouch El-Harime,,33.71640015,35.85290146,IS- Informal Settlement,Less than 4,1,7,12/14/16,Medair,Sixth Update - 2016,8/31/15,12/17/12,1,1000,0,0,Others,Dump it outside the camp,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52254-01-039,Haouch El-Harime 039,Bekaa,West Bekaa,Haouch El-Harime,,33.70560074,35.84370041,IS- Informal Settlement,Less than 4,1,10,12/14/16,Medair,Sixth Update - 2016,10/13/15,8/16/15,0,2000,2,15,Borehole,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52254-01-040,Haouch El-Harime 040,Bekaa,West Bekaa,Haouch El-Harime,,33.72309875,35.85710144,IS- Informal Settlement,Active,7,47,12/14/16,Medair,Sixth Update - 2016,12/29/15,12/26/15,7,7000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Wifi  / local Internet service provider,Yes,Yes
52254-01-041,Haouch El-Harime 041,Bekaa,West Bekaa,Haouch El-Harime,,33.72060013,35.8614006,IS- Informal Settlement,Less than 4,2,12,12/14/16,Medair,Sixth Update - 2016,2/18/16,1/14/16,1,1000,1,8,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52254-01-042,Haouch El-Harime 042,Bekaa,West Bekaa,Haouch El-Harime,,33.72249985,35.8567009,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,2/19/16,1/19/16,0,0,0,0,,,,,,,
52254-01-043,Haouch El-Harime 043,Bekaa,West Bekaa,Haouch El-Harime,,33.71953964,35.86365891,IS- Informal Settlement,Less than 4,2,7,12/14/16,Medair,Sixth Update - 2016,6/16/16,5/6/16,1,1000,0,0,Others,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-044,Haouch El-Harime 044,Bekaa,West Bekaa,Haouch El-Harime,,33.71607971,35.86558914,IS- Informal Settlement,Less than 4,1,7,12/14/16,Medair,Sixth Update - 2016,8/18/16,6/18/16,1,2000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-045,Haouch El-Harime 045,Bekaa,West Bekaa,Haouch El-Harime,,33.72217941,35.8533287,IS- Informal Settlement,Less than 4,1,5,12/14/16,Medair,Sixth Update - 2016,9/1/16,8/28/16,0,0,0,0,Water Network,Dump it outside the camp,Direct discharge to environment,Verbal,No Internet access,No,No
52254-01-046,Haouch El-Harime 046,Bekaa,West Bekaa,Haouch El-Harime,,33.72145844,35.8637085,IS- Informal Settlement,Less than 4,3,15,12/14/16,Medair,Sixth Update - 2016,10/12/16,9/30/16,2,2000,0,0,Water Trucking,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,Yes,Yes
52254-01-047,Haouch El-Harime 047,Bekaa,West Bekaa,Haouch El-Harime,,33.72198868,35.86307907,IS- Informal Settlement,Less than 4,2,14,12/14/16,Medair,Sixth Update - 2016,9/18/16,8/3/16,0,0,0,0,Others,Dump it outside the camp,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
52257-01-001,Jazira BG 001,Bekaa,West Bekaa,Jazira BG,,33.73609924,35.85680008,IS- Informal Settlement,Active,16,118,12/14/16,Medair,Sixth Update - 2016,5/9/14,4/17/13,15,23000,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52257-01-002,Jazira BG 002,Bekaa,West Bekaa,Jazira BG,,33.73429871,35.85480118,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,4/29/15,4/17/15,0,0,0,0,,,,,,,
52257-01-003,Jazira BG 003,Bekaa,West Bekaa,Jazira BG,,33.73001099,35.8524704,IS- Informal Settlement,Less than 4,2,10,12/14/16,Medair,Sixth Update - 2016,9/1/16,8/1/16,0,0,0,0,Water Trucking,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,No
52257-01-004,Jazira BG 004,Bekaa,West Bekaa,Jazira BG,,33.72909164,35.85303116,IS- Informal Settlement,Less than 4,3,21,12/14/16,Medair,Sixth Update - 2016,9/1/16,9/1/15,1,3000,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,Yes
52257-01-005,Jazira BG 005,Bekaa,West Bekaa,Jazira BG,,33.72872162,35.85364151,IS- Informal Settlement,Less than 4,1,5,12/14/16,Medair,Sixth Update - 2016,9/1/16,7/1/16,0,0,0,0,Water Network,Municipality Collection,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
52261-01-001,Ouaqf BG 001,Bekaa,West Bekaa,Ouaqf BG,Ouaqf,33.73989868,35.85319901,IS- Informal Settlement,Inactive,0,0,12/14/16,Medair,Sixth Update - 2016,8/15/14,5/15/13,0,0,0,0,,,,,,,
