"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
23239-01-001,Aanout 001,Mount Lebanon,Chouf,Aanout,Aanout - Al Dafran ITS,33.63077164,35.52445984,IS- Informal Settlement,Active,7,59,12/14/16,PU-AMI,Sixth Update - 2016,1/4/14,12/19/12,3,8000,0,0,Water Network,Burn it,Cesspit,Verbal,Wifi  / local Internet service provider,No,No
23239-01-002,Aanout 002,Mount Lebanon,Chouf,Aanout,Aanout ,33.62548828,35.52050018,IS- Informal Settlement,Less than 4,1,6,12/14/16,PU-AMI,Sixth Update - 2016,8/13/15,6/1/15,1,1000,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,No,Yes
23267-01-001,Jiyé 001,Mount Lebanon,Chouf,Jiyé,Jieh 1,33.66564941,35.42276001,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,7/16/14,4/4/12,0,0,0,0,,,,,,,
23267-01-003,Jiyé 003,Mount Lebanon,Chouf,Jiyé,Jieh 3,33.66374969,35.41986847,IS- Informal Settlement,Inactive,0,0,12/14/16,PU-AMI,Sixth Update - 2016,7/16/14,8/21/13,0,0,0,0,,,,,,,
23267-01-004,Jiyé 004,Mount Lebanon,Chouf,Jiyé,Jiyeh Lazy B,33.68188858,35.42087173,IS- Informal Settlement,Less than 4,2,8,12/14/16,PU-AMI,Sixth Update - 2016,8/21/14,7/18/13,1,2000,2,6,Well,Municipality Collection,Holding tank,Verbal,Wifi  / local Internet service provider,No,No
23267-01-005,Jiyé 005,Mount Lebanon,Chouf,Jiyé,Jieh 5,33.66617966,35.42074966,IS- Informal Settlement,Less than 4,1,3,12/14/16,PU-AMI,Sixth Update - 2016,8/21/14,10/5/11,1,4000,4,24,Borehole,Municipality Collection,Open pit,Verbal,Wifi  / local Internet service provider,No,No
23267-01-006,Jiyé 006,Mount Lebanon,Chouf,Jiyé,Jiyeh Golden Tulip ITS,33.66825867,35.42351913,IS- Informal Settlement,Active,5,19,12/14/16,PU-AMI,Sixth Update - 2016,1/4/14,3/18/14,8,7000,4,26,Well,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23267-01-007,Jiyé 007,Mount Lebanon,Chouf,Jiyé,Zarout ITS,33.64783859,35.41284943,IS- Informal Settlement,Active,8,43,12/14/16,PU-AMI,Sixth Update - 2016,1/4/14,3/1/12,0,14000,6,25,Water Trucking,Municipality Collection,Direct discharge to environment,None,Mobile network - 3G / 4G,Yes,Yes
23267-01-008,Jiyé 008,Mount Lebanon,Chouf,Jiyé,Jiyé,33.66534042,35.42398834,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,2/18/15,2/28/11,0,0,0,0,,,,,,,
23267-01-009,Jiyé 009,Mount Lebanon,Chouf,Jiyé,jiyé,33.66106033,35.42304993,IS- Informal Settlement,Less than 4,1,3,12/14/16,PU-AMI,Sixth Update - 2016,2/18/15,9/1/14,1,2000,1,5,Well,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,No,Yes
23267-01-010,Jiyé 010,Mount Lebanon,Chouf,Jiyé,jiyé,33.66051865,35.423069,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,2/18/15,6/1/14,0,0,0,0,,,,,,,
23267-01-011,Jiyé 011,Mount Lebanon,Chouf,Jiyé,Jiyè,33.66255951,35.42644119,IS- Informal Settlement,Less than 4,1,5,12/14/16,PU-AMI,Sixth Update - 2016,6/17/15,1/17/13,1,2000,1,8,Borehole,Municipality Collection,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23267-01-012,Jiyé 012,Mount Lebanon,Chouf,Jiyé,Jiyeh,33.67052078,35.42240906,IS- Informal Settlement,Less than 4,1,8,12/14/16,PU-AMI,Sixth Update - 2016,10/20/15,10/20/11,1,1000,0,0,Well,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23267-01-013,Jiyé 013,Mount Lebanon,Chouf,Jiyé,Jiyeh,33.65140152,35.41661835,IS- Informal Settlement,Less than 4,2,23,11/30/16,PU-AMI,Sixth Update - 2016,10/20/15,10/1/11,2,2000,0,0,Well,Burn it,Direct discharge to environment,Verbal,Mobile network - 3G / 4G,No,Yes
23267-01-014,Jiyé 014,Mount Lebanon,Chouf,Jiyé,Jiyyi,33.65052032,35.41263962,IS- Informal Settlement,Inactive,0,0,12/14/16,PU-AMI,Sixth Update - 2016,10/20/15,6/20/14,0,0,0,0,,,,,,,
23267-01-015,Jiyé 015,Mount Lebanon,Chouf,Jiyé,Jiyi,33.65961838,35.4231987,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,10/20/15,6/1/13,0,0,0,0,,,,,,,
23267-01-016,Jiyé 016,Mount Lebanon,Chouf,Jiyé,Jiyeh,33.66212082,35.42053986,IS- Informal Settlement,Less than 4,1,3,12/14/16,PU-AMI,Sixth Update - 2016,10/20/15,6/1/14,1,2000,1,7,Borehole,Municipality Collection,Cesspit,Verbal,Wifi  / local Internet service provider,No,Yes
23267-01-017,Jiyé 017,Mount Lebanon,Chouf,Jiyé,jiyeh,33.6836319,35.42657852,IS- Informal Settlement,Less than 4,1,6,12/14/16,PU-AMI,Sixth Update - 2016,11/2/15,9/26/12,1,1000,1,4,Well,Burn it,Holding tank,Verbal,Mobile network - 3G / 4G,No,No
23267-01-018,Jiyé 018,Mount Lebanon,Chouf,Jiyé,jeye,33.6701088,35.42050171,IS- Informal Settlement,Less than 4,3,15,12/14/16,PU-AMI,Sixth Update - 2016,12/17/15,11/16/15,2,3000,0,0,Water Network,Burn it,Open pit,Verbal,Mobile network - 3G / 4G,Yes,Yes
